+-------+--------------------------------+----------------+-------+
|   #   | User Name                      | Boulder/routes |   %   |
|  545  | Chipcashew                     |       57       | 0.021 |
|  546  | DCS                            |       57       | 0.021 |
|  547  | Hamiter                        |       57       | 0.021 |
|  548  | MikeyS07                       |       57       | 0.021 |
|  549  | Paka                           |       57       | 0.021 |
|  550  | RobinDonders                   |       57       | 0.021 |
|  551  | angrylittleman                 |       57       | 0.021 |
|  552  | cove                           |       57       | 0.021 |
|  553  | ericterral                     |       57       | 0.021 |
|  554  | gabriellow                     |       57       | 0.021 |
|  555  | grasshuang                     |       57       | 0.021 |
|  556  | heymove616                     |       57       | 0.021 |
|  557  | nate02                         |       57       | 0.021 |
|  558  | nick_dt                        |       57       | 0.021 |
|  559  | noah73049                      |       57       | 0.021 |
|  560  | patakilter                     |       57       | 0.021 |
|  561  | purplexpurple                  |       57       | 0.021 |
|  562  | rataids                        |       57       | 0.021 |
