+------+--------------------------------+-----------------+--------+
|  #   | User Name                      | Uploaded Videos |   %    |
| 470  | dzzdeeq                        | 8               | 0.028  |
| 471  | elias_board_climbs             | 8               | 0.028  |
| 472  | gabe4psychoss                  | 8               | 0.028  |
| 473  | ganna.rozhnova                 | 8               | 0.028  |
| 474  | garyisboard                    | 8               | 0.028  |
| 475  | ghafgastons                    | 8               | 0.028  |
| 476  | granite.the_rock               | 8               | 0.028  |
| 477  | havardhelgesen                 | 8               | 0.028  |
| 478  | heo_munseon                    | 8               | 0.028  |
| 479  | high_fall_risk                 | 8               | 0.028  |
| 480  | in_star89                      | 8               | 0.028  |
| 481  | johnmoonboards                 | 8               | 0.028  |
| 482  | kimboulderraven                | 8               | 0.028  |
| 483  | lilkev_2                       | 8               | 0.028  |
| 484  | lisa_farathet                  | 8               | 0.028  |
| 485  | maherboards                    | 8               | 0.028  |
| 486  | merlijn_m                      | 8               | 0.028  |
| 487  | migz3seasons_nevafall          | 8               | 0.028  |
| 488  | morozovmicah                   | 8               | 0.028  |
| 489  | mrock_2_26                     | 8               | 0.028  |
| 490  | naah.cl                        | 8               | 0.028  |
| 491  | oohreurak                      | 8               | 0.028  |
| 492  | pikewilner                     | 8               | 0.028  |
| 493  | raymondcookie                  | 8               | 0.028  |
| 494  | reagenboardclimbs              | 8               | 0.028  |
| 495  | s.y_hobby                      | 8               | 0.028  |
| 496  | scotty.climbs                  | 8               | 0.028  |
| 497  | seokgenius                     | 8               | 0.028  |
| 498  | spin_climbs                    | 8               | 0.028  |
| 499  | ssuk_kilter                    | 8               | 0.028  |
| 500  | sung_0122                      | 8               | 0.028  |
| 501  | tall.guybeta                   | 8               | 0.028  |
| 502  | tall_board_beta                | 8               | 0.028  |
| 503  | theaustinbarnes                | 8               | 0.028  |
| 504  | tperooftopwall                 | 8               | 0.028  |
| 505  | yejinlee_98                    | 8               | 0.028  |
| 506  | yul_climb                      | 8               | 0.028  |
| 507  | yy.climbing                    | 8               | 0.028  |
| 508  | zero_gravity_mj                | 8               | 0.028  |
| 509  | 00044.44                       | 7               | 0.025  |
| 510  | 0902_gani                      | 7               | 0.025  |
| 511  | _p.lippie                      | 7               | 0.025  |
| 512  | ahharreh                       | 7               | 0.025  |
| 513  | ahnsight.kilter                | 7               | 0.025  |
| 514  | alan_thai_photography          | 7               | 0.025  |
| 515  | alexandermegos                 | 7               | 0.025  |
| 516  | allezlufudesu                  | 7               | 0.025  |
| 517  | antkilter                      | 7               | 0.025  |
| 518  | arsenijslepkov5                | 7               | 0.025  |
| 519  | auto_chan_climber              | 7               | 0.025  |
| 520  | bbtv_jun                       | 7               | 0.025  |
| 521  | besthans_climb                 | 7               | 0.025  |
| 522  | bigbear.boulder                | 7               | 0.025  |
| 523  | boulder_park                   | 7               | 0.025  |
| 524  | bouldermonster69               | 7               | 0.025  |
| 525  | camgibbs_                      | 7               | 0.025  |
| 526  | chalkboard.climbing            | 7               | 0.025  |
| 527  | cickak                         | 7               | 0.025  |
| 528  | clarkebones                    | 7               | 0.025  |
| 529  | climb_feb                      | 7               | 0.025  |
| 530  | climbey_mcclimbface            | 7               | 0.025  |
| 531  | climbing_monkei                | 7               | 0.025  |
| 532  | climbingwill                   | 7               | 0.025  |
| 533  | coreyclimbskorea               | 7               | 0.025  |
| 534  | cozyrock.kz                    | 7               | 0.025  |
| 535  | dascrimpa                      | 7               | 0.025  |
| 536  | duckycargo                     | 7               | 0.025  |
| 537  | dylan_vogt                     | 7               | 0.025  |
| 538  | elaine32621                    | 7               | 0.025  |
| 539  | eq.climbs                      | 7               | 0.025  |
| 540  | frankkjorlaug                  | 7               | 0.025  |
